rank,title,year,release_date,genre,prod_cost_range_million,worldwide_gross_range_million,domestic_gross_range_million,production_cost,domestic_gross,worldwide_gross,opening_weekend,theaters,runtime
1,avengers: endgame,2019,2019-04-23,Action,396-401,2793-2803,855-860,400000000,858373000,2797800564,357115007.0,4662.0,181.0
2,pirates of the caribbean: on stranger tides,2011,2011-05-20,Adventure,376-381,1043-1053,240-245,379000000,241071802,1045713802,90151958.0,4164.0,136.0
3,avengers: age of ultron,2015,2015-04-22,Action,361-366,1393-1403,455-460,365000000,459005868,1395316979,191271109.0,4276.0,141.0
4,star wars ep. vii: the force awakens,2015,2015-12-16,Adventure,301-306,2063-2073,935-940,306000000,936662225,2064615817,247966675.0,4134.0,136.0
5,avengers: infinity war,2018,2018-04-25,Action,296-301,2043-2053,675-680,300000000,678815482,2048359754,257698183.0,4474.0,156.0
6,pirates of the caribbean: at world’s end,2007,2007-05-24,Adventure,296-301,953-963,305-310,300000000,309420425,960996492,114732820.0,4362.0,167.0
7,justice league,2017,2017-11-13,Action,296-301,653-663,225-230,300000000,229024295,655945209,93842239.0,4051.0,121.0
8,spectre,2015,2015-10-06,Action,296-301,873-883,195-200,300000000,200074175,879500760,70403148.0,3929.0,148.0
10,star wars: the rise of skywalker,2019,2019-12-18,Adventure,271-276,1063-1073,510-515,275000000,515202542,1072848487,177383864.0,4406.0,142.0
11,solo: a star wars story,2018,2018-05-23,Adventure,271-276,383-393,210-215,275000000,213767512,393151347,84420489.0,4381.0,135.0
12,john carter,2012,2012-03-07,Adventure,261-266,273-283,70-75,263700000,73058679,282778100,30180188.0,3749.0,132.0
13,batman v superman: dawn of justice,2016,2016-03-23,Action,261-266,863-873,325-330,263000000,330360194,872395091,166007347.0,4256.0,151.0
14,star wars ep. viii: the last jedi,2017,2017-12-13,Adventure,261-266,1323-1333,615-620,262000000,620181382,1331635141,220009584.0,4232.0,150.0
15,the lion king,2019,2019-07-11,Adventure,256-261,1643-1653,540-545,260000000,543638043,1647778651,191770759.0,4802.0,118.0
16,tangled,2010,2010-11-24,Musical,256-261,573-583,195-200,260000000,200821936,583777242,48767052.0,3603.0,101.0
17,spider-man 3,2007,2007-05-04,Adventure,256-261,893-903,335-340,258000000,336530303,894860230,151116516.0,4324.0,139.0
18,captain america: civil war,2016,2016-04-22,Action,246-251,1143-1153,405-410,250000000,408084349,1151918521,179139142.0,4226.0,146.0
19,thor: love and thunder,2022,2022-07-01,Action,246-251,743-753,340-345,250000000,343256830,745453552,144165107.0,4375.0,119.0
20,harry potter and the half-blood prince,2009,2009-07-15,Adventure,246-251,923-933,300-305,250000000,302089278,929411069,77835727.0,4455.0,153.0
21,the hobbit: the desolation of smaug,2013,2013-12-12,Adventure,246-251,953-963,255-260,250000000,258241522,959358436,73645197.0,3928.0,201.0
22,the hobbit: the battle of the five armies,2014,2014-12-10,Adventure,246-251,933-943,250-255,250000000,255119788,940389558,54724334.0,3875.0,144.0
23,the fate of the furious,2017,2017-04-07,Action,246-251,1233-1243,220-225,250000000,225764765,1236703796,98786705.0,4329.0,136.0
24,no time to die,2021,2021-09-29,Action,246-251,753-763,155-160,250000000,160891007,760008036,55225007.0,4407.0,163.0
25,avatar,2009,2009-12-17,Action,236-241,2903-2913,780-785,237000000,785221649,2910370905,77025481.0,3461.0,162.0
26,superman returns,2006,2006-06-28,Adventure,231-236,383-393,195-200,232000000,200120000,391081192,52535096.0,4065.0,150.0
27,the dark knight rises,2012,2012-07-19,Action,226-231,1073-1083,445-450,230000000,448139099,1082228107,160887295.0,4404.0,164.0
28,pirates of the caribbean: dead men tell no tales,2017,2017-05-23,Adventure,226-231,793-803,170-175,230000000,172558876,794861794,62983253.0,4276.0,135.0
29,quantum of solace,2008,2008-11-14,Action,226-231,583-593,165-170,230000000,169368427,591692078,67528882.0,3501.0,106.0
30,the avengers,2012,2012-04-25,Action,221-226,1513-1523,620-625,225000000,623357910,1515100211,207438708.0,4349.0,143.0
31,pirates of the caribbean: dead man’s chest,2006,2006-07-06,Adventure,221-226,1063-1073,420-425,225000000,423315812,1066179725,135634554.0,4133.0,151.0
32,man of steel,2013,2013-06-14,Action,221-226,663-673,290-295,225000000,291045518,667999518,116619362.0,4207.0,142.0
33,the chronicles of narnia: prince caspian,2008,2008-05-16,Adventure,221-226,413-423,140-145,225000000,141621490,417341288,55034805.0,3929.0,144.0
34,the lone ranger,2013,2013-07-02,Western,221-226,253-263,85-90,225000000,89302115,260002115,29210849.0,3904.0,149.0
35,the amazing spider-man,2012,2012-06-27,Adventure,216-221,753-763,260-265,220000000,262030663,757890267,62004688.0,4318.0,136.0
36,battleship,2012,2012-04-11,Action,216-221,303-313,60-65,220000000,65233400,313477717,25534825.0,3702.0,130.0
37,transformers: the last knight,2017,2017-06-20,Action,216-221,593-603,125-130,217000000,130168683,602893340,44680073.0,4132.0,148.0
38,jurassic world,2015,2015-06-09,Action,211-216,1663-1673,650-655,215000000,652306625,1669979967,208806270.0,4291.0,124.0
39,men in black 3,2012,2012-05-23,Adventure,211-216,653-663,175-180,215000000,179020854,654213485,54592779.0,4248.0,104.0
40,transformers: revenge of the fallen,2009,2009-06-24,Action,206-211,833-843,400-405,210000000,402111870,836519699,108966307.0,4293.0,149.0
41,transformers: age of extinction,2014,2014-06-25,Action,206-211,1103-1113,240-245,210000000,245439076,1104054072,100038390.0,4233.0,165.0
42,x-men: the last stand,2006,2006-05-26,Action,206-211,453-463,230-235,210000000,234362462,459260946,102750665.0,3714.0,104.0
43,robin hood,2010,2010-05-14,Action,206-211,313-323,100-105,210000000,105487148,322459006,36063385.0,3505.0,139.0
44,king kong,2005,2005-12-14,Adventure,206-211,543-553,215-220,207000000,218080025,550517357,50130145.0,3627.0,189.0
45,the golden compass,2007,2007-12-07,Adventure,201-206,363-373,65-70,205000000,70107728,367262558,25783232.0,3528.0,113.0
46,tenet,2020,2020-08-26,Action,201-206,353-363,55-60,205000000,58504105,362450957,20001852.0,2930.0,110.0
47,spider-man: no way home,2021,2021-12-14,Action,196-201,1903-1913,810-815,200000000,814108407,1912775610,260138569.0,4336.0,148.0
48,black panther,2018,2018-02-13,Action,196-201,1333-1343,695-700,200000000,700059566,1336494321,202003951.0,4084.0,120.0
49,titanic,1997,1997-12-18,Drama,196-201,2203-2213,655-660,200000000,659363944,2207986545,28638131.0,3265.0,194.0
50,incredibles 2,2018,2018-06-15,Adventure,196-201,1233-1243,605-610,200000000,608581744,1242805359,182687905.0,4413.0,118.0
51,rogue one: a star wars story,2016,2016-12-14,Adventure,196-201,1053-1063,530-535,200000000,533539991,1055083596,155081681.0,4157.0,134.0
52,finding dory,2016,2016-06-16,Adventure,196-201,1023-1033,485-490,200000000,486295561,1025006125,135060273.0,4305.0,103.0
