title,release_year,genres,popularity,vote_average,vote_count,original_title,overview,release_date,original_language
the hobbit: the desolation of smaug,2013,"Fantasy,Adventure,Action",68.486,7.575,13167.0,The Hobbit: The Desolation of Smaug,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",2013-12-11,en
frozen,2013,"Animation,Family,Adventure,Fantasy",136.92,7.2,16539.0,Frozen,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",2013-11-20,en
frozen,2010,Thriller,21.316,6.0,1820.0,Frozen,"When three skiers find themselves stranded on a chair lift at a New England ski resort that has closed for the next week, they are forced to make life or death choices that prove to be more perilous than staying put and freezing to death.",2010-02-05,en
frozen,2005,Thriller,2.648,5.7,18.0,Frozen,"It's two years since the mysterious disappearance of Kath Swarbrick's older sister Annie, but Kath remains haunted by a need to know what happened. When police investigations wind down, Kath continues the search herself. She gets nowhere until she steals some CCTV footage of her sister on her final day. Visiting the spot where Annie was filmed, Kath becomes convinced she has found a portal to another reality and from this portal Kath is trying to say something.",2005-03-12,en
little eggs: a frozen rescue,2022,"Animation,Adventure,Comedy,Family",33.602,7.7,345.0,Huevitos Congelados,"In the final Huevos adventure, Toto and his family will have to travel to the South Pole to fulfill their promise to return a polar bear and some Spanish penguins to their home. In order to do so, they will have to overcome some obstacles that will teach them how important teamwork is.",2022-12-14,es
frozen ii,2019,"Family,Animation,Adventure,Comedy,Fantasy",113.291,7.256,9733.0,Frozen II,"Elsa, Anna, Kristoff and Olaf head far into the forest to learn the truth about an ancient mystery of their kingdom.",2019-11-20,en
a frozen flower,2008,Drama,19.658,6.894,141.0,쌍화점,A historical drama set in the Koryo dynasty and focused on the relationship between a king and his bodyguard.,2008-12-30,ko
ghostbusters: frozen empire,2024,"Fantasy,Adventure,Comedy",68.825,6.543,1607.0,Ghostbusters: Frozen Empire,"When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second Ice Age.",2024-03-20,en
re:zero - starting life in another world the frozen bond,2019,"Animation,Drama,Thriller,Fantasy",17.701,7.4,183.0,Re:ゼロから始める異世界生活 氷結の絆,"Covered in ice and snow, Elior Forest is the home to dangerous magical beasts and 50 elves frozen in ice. One day, the great spirit Puck helps a young girl break out of her ice prison. Her name is Emilia, a half-elf born with silver hair, long ears, and amethyst eyes—features that resemble the evil Witch who destroyed half the world long ago.  Shunned by society because of her appearance, Emilia dwells in the forest with Puck as her sole companion and family. Burdened with a sin of destruction she does not remember committing, she spends her days trying to find a way to help her frozen kin. But when the great spirit Melakuera, the Arbitrator of the world, finds Emilia, her right to stay alive is brought into question. Will the bonds of ice she formed with Puck prove to be the warm thread that defies fate?",2019-11-08,ja
olaf's frozen adventure,2017,"Animation,Family,Adventure,Comedy,Fantasy",34.599,6.453,1430.0,Olaf's Frozen Adventure,"Olaf is on a mission to harness the best holiday traditions for Anna, Elsa, and Kristoff.",2017-10-27,en
frozen stiff,2002,"Drama,Comedy",5.39,7.5,48.0,Mrtav 'ladan,"The basic plot revolves around drug dealer Limeni and two men, Lemi and Kiza, who are trying to transport their dead grandfather for burial, until their car breaks down and they end up struggling to get him home onboard a train. This is when these two plots intersect and all hell breaks loose.",2002-03-15,sr
the frozen north,1922,"Comedy,Western",5.089,6.171,79.0,The Frozen North,"This satirical parody of William S. Hart's melodramatic films finds Buster in the frozen north, ""last stop on the subway."" He uses a wanted poster as his partner in robbing a gambling house. When he thinks he spies his wife making love to another man he shoots them both only to learn it isn't his cabin after all.",1922-08-28,en
frozen fever,2015,"Animation,Family,Adventure,Comedy",22.157,6.826,1820.0,Frozen Fever,"On Anna's birthday, Elsa and Kristoff are determined to give her the best celebration ever, but Elsa's icy powers may put more than just the party at risk.",2015-03-09,en
hope frozen: a quest to live twice,2018,Documentary,1.365,6.2,19.0,ความหวังแช่แข็ง: ขอเกิดอีกครั้ง,"A Buddhist scientist from Bangkok decides to cryo-preserve his daughter's brain. As scandal swirls around the family, they struggle to grieve a child that, in their view, is suspended between death and a future reawakening.",2018-06-15,th
lego frozen northern lights,2017,"Animation,Family",24.661,6.6,97.0,LEGO Frozen Northern Lights,"Elsa, Anna and friends search for the Northern Lights.",2017-01-05,en
the frozen ground,2013,"Thriller,Crime",15.574,6.281,1455.0,The Frozen Ground,An Alaska State Trooper partners with a young woman who escaped the clutches of serial killer Robert Hansen to bring the murderer to justice. Based on actual events.,2013-07-11,en
frozen land,2005,Drama,4.26,6.9,59.0,Paha maa,"When a schoolteacher is sacked, he projects his bad mood at his troubled teenage son. The son, in turn, buys a CD player from a pawnshop with counterfeit money. This starts a chain reaction of misery as every victim projects his problems on to another person.",2005-01-14,fi
frozen lake,2015,Crime,3.698,4.9,31.0,Der Tote am Teich,"A retired police officer discovers a dead body on a frozen lake. When his own family members become the prime suspects, he decides to start his own investigation.",2015-08-28,de
the hunger games: catching fire,2013,"Adventure,Action,Science Fiction",48.395,7.4,17326.0,The Hunger Games: Catching Fire,"Katniss Everdeen has returned home safe after winning the 74th Annual Hunger Games along with fellow tribute Peeta Mellark. Winning means that they must turn around and leave their family and close friends, embarking on a ""Victor's Tour"" of the districts. Along the way Katniss senses that a rebellion is simmering, but the Capitol is still very much in control as President Snow prepares the 75th Annual Hunger Games (The Quarter Quell) - a competition that could change Panem forever.",2013-11-15,en
surviving the game: making the hunger games: catching fire,2014,Documentary,2.156,6.1,8.0,Surviving the Game: Making The Hunger Games: Catching Fire,"An incredibly in depth and informative compendium of nine featurettes that address virtually every aspect of the film, from the adaptive process through the special effects, stunts and production design. There are a number of really well done interviews with most of the principal cast and crew.",2014-03-07,en
thor: the dark world,2013,"Action,Adventure,Fantasy",59.49,6.5,17284.0,Thor: The Dark World,"Thor fights to restore order across the cosmos… but an ancient race led by the vengeful Malekith returns to plunge the universe back into darkness. Faced with an enemy that even Odin and Asgard cannot withstand, Thor must embark on his most perilous and personal journey yet, one that will reunite him with Jane Foster and force him to sacrifice everything to save us all.",2013-10-30,en
ender's game,2013,"Science Fiction,Action,Adventure",23.077,6.591,5801.0,Ender's Game,"Based on the classic novel by Orson Scott Card, Ender's Game is the story of the Earth's most gifted children training to defend their homeplanet in the space wars of the future.",2013-10-24,en
jackass presents: bad grandpa,2013,Comedy,10.512,6.113,1552.0,Jackass Presents: Bad Grandpa,"86-year-old Irving Zisman is on a journey across America with the most unlikely companion: his 8 year-old grandson, Billy.",2013-10-22,en
jackass presents: bad grandpa .5,2014,Comedy,10.573,5.9,246.0,Jackass Presents: Bad Grandpa .5,"Bad Grandpa .5 gives you a whole new perspective on the world of Irving Zisman with bonus scenes and pranks also featuring Spike Jonze as ""Gloria"" and Catherine Keener as Irving's wife ""Ellie"", plus a look at the evolution of Johnny Knoxville's naughty alter-ego, the makeup effects, and a behind-the-scenes peek at the idiocy it takes to make a hidden camera movie in public.",2014-06-03,en
gravity,2013,"Science Fiction,Thriller,Drama",38.959,7.166,15309.0,Gravity,"Dr. Ryan Stone, a brilliant medical engineer on her first Shuttle mission, with veteran astronaut Matt Kowalsky in command of his last flight before retiring. But on a seemingly routine spacewalk, disaster strikes. The Shuttle is destroyed, leaving Stone and Kowalsky completely alone-tethered to nothing but each other and spiraling out into the blackness of space. The deafening silence tells them they have lost any link to Earth and any chance for rescue. As fear turns to panic, every gulp of air eats away at what little oxygen is left. But the only way home may be to go further out into the terrifying expanse of space.",2013-10-03,en
gravity,2018,Documentary,0.446,0.0,0.0,Gravity,"An electric compilation of footage cut to an explosive soundtrack, Gravity is a high action surf film from John John Florence that highlights the historic 2021/2022 winter on the North Shore of O'ahu.",2018-01-01,en
defying gravity: the curtain rises on wicked,2024,Documentary,101.37,8.6,5.0,Defying Gravity: The Curtain Rises on Wicked,"A behind-the-scenes look at the highly-anticipated two-part film adaptation of the hit Broadway musical, featuring interviews with the cast and crew.",2024-11-16,en
the man without gravity,2019,"Fantasy,Drama,Comedy",5.972,7.111,252.0,L'uomo senza gravità,A gravity-defying boy raised in seclusion matures into an extraordinary man -- and an international celebrity -- who longs for human connection.,2019-10-21,it
the gravity,2023,"Drama,Action,Science Fiction",2.457,5.2,18.0,La Gravité,"As a mysterious planetary alignment sets the sky on fire, two brothers are reunited with a childhood friend.",2023-05-03,fr
gravity rush: the animation - overture,2016,"Fantasy,Animation,Action,Science Fiction",1.615,7.3,6.0,『GRAVITY DAZE 2』スペシャルアニメーション,"The 20-minute animation that bridges the gap between the original Gravity Rush and Gravity Rush 2. Featuring Kat ""Gravity Queen"" and her friends Raven and Syd. Can they find more clues about the fearsome enemy threatening to unravel the fabric of the universe?",2016-12-26,ja
gravity's clowns,2009,Drama,1.663,6.7,7.0,重力ピエロ,"On the outset, the Okunos seem like a normal happy family with father Tadashi and his two bright sons, genetics researcher Izumi and artsy Haru. When a series of arson attacks strike the neighborhood, clues left at the crime scenes seem to be somehow related to the Okunos. Izumi and Haru try to get to the bottom of mystery, slowly unveiling a tragic family secret that has come back to haunt them.",2009-05-23,ja
extreme gravity,2023,"Comedy,Crime,Drama",0.388,8.0,1.0,Extrema gravedad,"What would be the worst thing that could happen to you when trying to kill yourself? It is said that dying is not the worst, but the way you die, and Camilo is about to find out how much of that is true.",2023-11-16,es
no more gravity at night,2024,Drama,0.201,0.0,0.0,夜晚不再有重力,"In an abandoned cement yard in the southern suburbs, a group of workers living in a utopian memory plot a “demolition” to make a quick buck. Chen Qing, a young boy among the workers, hopes to use his actions and even sacrifice himself in order to take his uncle away from this place, in order to wake up his young heroic uncle. At night, his relationship with his uncle had become subtly close, rigid, and broken, and his quicksand memory was like this dusty cement factory, eventually buried in dust.",2024-05-30,zh
cloudy with a chance of meatballs 2,2013,"Animation,Family,Comedy",51.763,6.434,3182.0,Cloudy with a Chance of Meatballs 2,"After the disastrous food storm in the first film, Flint and his friends are forced to leave the town. Flint accepts the invitation from his idol Chester V to join The Live Corp Company, which has been tasked to clean the island, and where the best inventors in the world create technologies for the betterment of mankind. When Flint discovers that his machine still operates and now creates mutant food beasts like living pickles, hungry tacodiles, shrimpanzees and apple pie-thons, he and his friends must return to save the world.",2013-09-26,en
super manny,2013,Animation,1.406,6.0,5.0,Super Manny,Manny saves an adorable kitty with his many skills.,2013-10-02,en
steve's first bath,2014,Animation,1.861,4.8,6.0,Steve's First Bath,Flint must quickly alter his plans for a romantic date with Sam after his monkey-cleaning invention goes awry.,2014-01-28,en
earl scouts,2013,Animation,1.095,6.2,5.0,Earl Scouts,The Foodimals join Earl's scouting program but are very competitive.,2013-10-08,en
attack of the 50-foot gummi bear,2014,Animation,1.643,6.0,4.0,Attack of the 50-foot Gummi Bear,Flint's mischievous gummy bear grows to 50-feet by using his new food-modifying invention.,2014-01-28,en
prisoners,2013,"Drama,Thriller,Crime",83.291,8.1,11801.0,Prisoners,"Keller Dover is facing every parent’s worst nightmare. His six-year-old daughter, Anna, is missing, together with her young friend, Joy, and as minutes turn to hours, panic sets in. The only lead is a dilapidated RV that had earlier been parked on their street.",2013-09-19,en
prisoners,1929,Drama,1.198,0.0,0.0,Prisoners,"Prisoners was released as a part-talking, part-silent feature.  An Austrian showgirl working in a cabaret moonlights as a thief. When she is caught in the act, a young lawyer offers to defend her. Unfortunately, he loses the case, causing her to spend several months in jail. Fortunately, the two have fallen in love, and he promises to wait for her.",1929-05-18,en
women's prison massacre,1983,"Action,Crime,Horror",21.431,4.633,60.0,Blade Violent - I violenti,"Emanuelle is framed by a corrupt D.A. while investigating a drug smuggling operation and has to tough it out under lock and key, dealing with a strict warden and abusive guards.",1983-05-06,it
7 prisoners,2021,"Drama,Crime",10.311,7.1,343.0,7 Prisioneiros,An impoverished teen seeking to escape the clutches of a human trafficker must weigh living up to his moral code against his struggle to survive.,2021-10-22,pt
naruto shippuden the movie: blood prison,2011,"Thriller,Animation,Action,Comedy,Horror,Mystery",26.327,7.2,645.0,劇場版 NARUTO -ナルト- ブラッド・プリズン,"After his capture for attempted assassination of the Raikage, leader of Kumogakure, as well as killing Jōnin from Kirigakure and Iwagakure, Naruto is imprisoned in Hōzukijou: A criminal containment facility known as the Blood Prison. Mui, the castle master, uses the ultimate imprisonment technique to steal power from the prisoners, which is when Naruto notices his life has been targeted. Thus begins the battle to uncover the truth behind the mysterious murders and prove Naruto's innocence.",2011-07-30,ja
the seven deadly sins: prisoners of the sky,2018,"Action,Adventure,Fantasy,Animation",4.454,7.567,1019.0,劇場版 七つの大罪 天空の囚われ人,"Traveling in search of the rare ingredient, “sky fish”  Meliodas and Hawk arrive at a palace that floats above the clouds. The people there are busy preparing a ceremony, meant to protect their home from a ferocious beast that awakens once every 3,000 years. But before the ritual is complete, the Six Knights of Black—a Demon Clan army—removes the seal on the beast, threatening the lives of everyone in the Sky Palace.",2018-08-18,ja
joan the maid ii: the prisons,1994,"History,Drama",4.796,6.8,19.0,Jeanne la Pucelle II - Les Prisons,"Jeanne d'Arc has succeeded in lifting the siege on Orléans and Charles VII has been ordained King of France. However, she is injured in her failed attempt to take Paris, weakening her position at court. When she is finally captured and put on trial, she finds both her life and the sanctity of her body at stake.",1994-02-10,fr
prisoners of the sun,2013,"Mystery,Action,Adventure,Horror",7.811,3.9,61.0,Prisoners of the Sun,"A multinational expedition discovers a lost city beneath a pyramid, where they must stop the reawakened gods of ancient Egypt from initiating the apocalypse",2013-12-20,en
release the prisoners to spring,1975,Comedy,1.982,6.0,35.0,Släpp fångarne loss - det är vår!,"Small and short Frida lives with her long, tall friend in a house in the countryside. Frida rejects the idea that people who have committed crimes should be locked up. One day their own house is burgled by Harald. He is sentenced to prison. Acting in accordance with her philosophy, Frida decides to use all means possible to make it possible for Harald to escape.",1975-12-06,sv
the cruel history of prisoners,1976,"Thriller,Crime,Horror",2.69,4.2,5.0,残虐女刑史,Short stories dealing with extreme punishment towards promiscuous women.,1976-01-01,ja
female prisoner scorpion: beast stable,1973,"Drama,Crime,Thriller",10.799,6.8,65.0,女囚さそり　けもの部屋,"Following her successful prison break, Scorpion begins this third episode in the series hiding out in a brothel. Her prostitute friend tries to keep her identity secret, but the brothel's madam discovers that Scorpion is the ex-girlfriend of the vice officer who killed her lover.",1973-07-29,ja
prisoners of the ghostland,2021,"Action,Fantasy,Horror",10.587,5.009,574.0,Prisoners of the Ghostland,"In the treacherous frontier city of Samurai Town, a ruthless bank robber is sprung from jail by wealthy warlord The Governor, whose adopted granddaughter Bernice has gone missing. The Governor offers the prisoner his freedom in exchange for retrieving the runaway. Strapped into a leather suit that will self-destruct within five days, the bandit sets off on a journey to find the young woman—and his own path to redemption.",2021-08-31,en
prisoner's daughter,2023,"Drama,Mystery,Thriller",8.632,6.3,67.0,Prisoner's Daughter,"Released from prison with terminal cancer, Max tries to reconnect with his estranged daughter and the grandson he’s never known. When his daughter’s abusive, drug-addicted ex-husband reappears, Max’s violent past comes back to haunt them all.",2023-06-30,en
