movie_title,year,occasion,top_10_gross_in_millions,overall_gross_in_millions,top10_wow_change,overall_wow_change,top10_gross,overall_gross,num_releases,week_no,date
the hobbit: the desolation of smaug,2013,normal weekend,167.84,197.18,+24.5%,+37.3%,167837974,197177755,81,52,Dec 27-29
the hobbit: the desolation of smaug,2013,normal weekend,134.84,143.57,-2.6%,-2.8%,134837792,143571365,80,51,Dec 20-22
the hobbit: the desolation of smaug,2013,normal weekend,138.37,147.7,+64.8%,+56.2%,138369003,147702714,94,50,Dec 13-15
frozen,2013,Post-Thanksgiving,83.94,94.54,-55.7%,-54.6%,83941456,94535353,96,49,Dec 6-8
the hunger games: catching fire,2013,Thanksgiving 3-Day,189.48,208.13,-11.7%,-8.1%,189483142,208125032,104,48,Nov 29-Dec 1
the hunger games: catching fire,2013,Thanksgiving 4-Day,224.23,244.54,-,-,224232953,244535600,50,48,Nov 28-Dec 1
the hunger games: catching fire,2013,Thanksgiving 5-Day,268.49,292.3,-,-,268488814,292303215,50,48,Nov 27-Dec 1
the hunger games: catching fire,2013,normal weekend,214.59,226.5,+86.4%,+77.9%,214593579,226500439,109,47,Nov 22-24
thor: the dark world,2013,normal weekend,115.11,127.35,-27.1%,-24.2%,115112784,127348048,117,46,Nov 15-17
thor: the dark world,2013,normal weekend,157.93,168.0,+36.2%,+31.2%,157930421,167996561,124,45,Nov 8-10
ender's game,2013,normal weekend,115.99,128.02,+24.3%,+24.3%,115987099,128021451,120,44,Nov 1-3
jackass presents: bad grandpa,2013,normal weekend,93.29,103.01,+2.8%,-1.4%,93288479,103005325,117,43,Oct 25-27
gravity,2013,normal weekend,90.75,104.48,-12.3%,-10.3%,90753518,104483096,121,42,Oct 18-20
gravity,2013,normal weekend,103.43,116.53,-7.2%,-8%,103432837,116527523,116,41,Oct 11-13
gravity,2013,Indig. Peoples' Day wknd,119.21,131.49,-,-,119207873,131493515,54,41,Oct 11-14
gravity,2013,normal weekend,111.46,126.59,+21.7%,+17%,111457653,126592855,132,40,Oct 4-6
cloudy with a chance of meatballs 2,2013,normal weekend,91.57,108.16,+31.1%,+23.9%,91565449,108160536,135,39,Sep 27-29
prisoners,2013,normal weekend,69.83,87.33,-19.3%,-15.7%,69831206,87331800,141,38,Sep 20-22
insidious: chapter 2,2013,normal weekend,86.53,103.65,+40.3%,+21.9%,86531368,103651335,134,37,Sep 13-15
riddick,2013,normal weekend,61.67,85.01,-27.4%,-32%,61672745,85014635,135,36,Sep 6-8
one direction: this is us,2013,normal weekend,84.94,125.0,+1.3%,+13.8%,84942972,124995564,117,35,Aug 30-Sep 1
the butler,2013,Labor Day wknd,110.02,162.14,-,-,110020537,162136448,112,35,Aug 30-Sep 2
the butler,2013,normal weekend,83.84,109.89,-26.2%,-21.2%,83842081,109886108,116,34,Aug 23-25
